samplenr	I	II	V1	V2	V3	V4	V5	V6
372	-16607.5	-16477.5	0	0	0	0	0	0
373	-16600	-16475	0	0	0	0	0	0
374	-16590	-16470	0	0	0	0	0	0
375	-16592.5	-16470	0	0	0	0	0	0
376	-16585	-16465	0	0	0	0	0	0
377	-16582.5	-16457.5	0	0	0	0	0	0
378	-16585	-16455	0	0	0	0	0	0
379	-16580	-16442.5	0	0	0	0	0	0
380	-16590	-16437.5	0	0	0	0	0	0
381	-16607.5	-16455	0	0	0	0	0	0
382	-16627.5	-16467.5	0	0	0	0	0	0
383	-16652.5	-16480	0	0	0	0	0	0
384	-16662.5	-16492.5	0	0	0	0	0	0
385	-16655	-16487.5	0	0	0	0	0	0
386	-16657.5	-16490	0	0	0	0	0	0
387	-16647.5	-16492.5	0	0	0	0	0	0
388	-16630	-16482.5	0	0	0	0	0	0
389	-16635	-16495	0	0	0	0	0	0
390	-16620	-16487.5	0	0	0	0	0	0
391	-16617.5	-16485	0	0	0	0	0	0
392	-16612.5	-16487.5	0	0	0	0	0	0
393	-16590	-16467.5	0	0	0	0	0	0
394	-16590	-16462.5	0	0	0	0	0	0
395	-16597.5	-16460	0	0	0	0	0	0
396	-16607.5	-16470	0	0	0	0	0	0
397	-16612.5	-16472.5	0	0	0	0	0	0
398	-16617.5	-16467.5	0	0	0	0	0	0
399	-16617.5	-16475	0	0	0	0	0	0
400	-16617.5	-16465	0	0	0	0	0	0
401	-16617.5	-16465	0	0	0	0	0	0
402	-16605	-16460	0	0	0	0	0	0
403	-16607.5	-16460	0	0	0	0	0	0
404	-16610	-16475	0	0	0	0	0	0
405	-16605	-16470	0	0	0	0	0	0
406	-16607.5	-16472.5	0	0	0	0	0	0
407	-16615	-16482.5	0	0	0	0	0	0
408	-16632.5	-16487.5	0	0	0	0	0	0
409	-16640	-16497.5	0	0	0	0	0	0
410	-16637.5	-16495	0	0	0	0	0	0
411	-16647.5	-16495	0	0	0	0	0	0
412	-16647.5	-16495	0	0	0	0	0	0
413	-16640	-16477.5	0	0	0	0	0	0
414	-16647.5	-16475	0	0	0	0	0	0
415	-16645	-16472.5	0	0	0	0	0	0
416	-16652.5	-16462.5	0	0	0	0	0	0
417	-16657.5	-16455	0	0	0	0	0	0
418	-16645	-16430	0	0	0	0	0	0
419	-16657.5	-16412.5	0	0	0	0	0	0
420	-16667.5	-16407.5	0	0	0	0	0	0
421	-16670	-16390	0	0	0	0	0	0
422	-16675	-16375	0	0	0	0	0	0
423	-16660	-16357.5	0	0	0	0	0	0
424	-16645	-16332.5	0	0	0	0	0	0
425	-16622.5	-16307.5	0	0	0	0	0	0
426	-16602.5	-16280	0	0	0	0	0	0
427	-16587.5	-16267.5	0	0	0	0	0	0
428	-16577.5	-16260	0	0	0	0	0	0
429	-16580	-16257.5	0	0	0	0	0	0
430	-16570	-16262.5	0	0	0	0	0	0
431	-16567.5	-16262.5	0	0	0	0	0	0
432	-16577.5	-16280	0	0	0	0	0	0
433	-16587.5	-16300	0	0	0	0	0	0
434	-16610	-16325	0	0	0	0	0	0
435	-16632.5	-16357.5	0	0	0	0	0	0
436	-16647.5	-16382.5	0	0	0	0	0	0
437	-16675	-16417.5	0	0	0	0	0	0
438	-16680	-16440	0	0	0	0	0	0
439	-16677.5	-16460	0	0	0	0	0	0
440	-16677.5	-16472.5	0	0	0	0	0	0
441	-16675	-16487.5	0	0	0	0	0	0
442	-16672.5	-16500	0	0	0	0	0	0
443	-16662.5	-16505	0	0	0	0	0	0
444	-16647.5	-16512.5	0	0	0	0	0	0
445	-16640	-16515	0	0	0	0	0	0
446	-16632.5	-16517.5	0	0	0	0	0	0
447	-16620	-16512.5	0	0	0	0	0	0
448	-16622.5	-16515	0	0	0	0	0	0
449	-16630	-16527.5	0	0	0	0	0	0
450	-16622.5	-16522.5	0	0	0	0	0	0
451	-16622.5	-16517.5	0	0	0	0	0	0
452	-16617.5	-16512.5	0	0	0	0	0	0
453	-16612.5	-16500	0	0	0	0	0	0
